futam_id,szezon_id,helyszin_id,datum,ido,idojarasi_korulmeny_id
833,61,9,13/05/1950,,1
834,61,6,21/05/1950,,5
835,61,19,30/05/1950,,4
836,61,66,04/06/1950,,9
837,61,13,18/06/1950,,1
838,61,55,02/07/1950,,9
839,61,14,03/09/1950,,7
825,60,66,27/05/1951,,4
826,60,19,30/05/1951,,6
827,60,13,17/06/1951,,3
828,60,55,01/07/1951,,6
829,60,9,14/07/1951,,5
830,60,20,29/07/1951,,4
831,60,14,16/09/1951,,2
832,60,67,28/10/1951,,4
817,59,66,18/05/1952,,4
818,59,19,30/05/1952,,9
819,59,13,22/06/1952,,2
820,59,53,06/07/1952,,9
821,59,9,19/07/1952,,3
822,59,20,03/08/1952,,3
823,59,39,17/08/1952,,3
824,59,14,07/09/1952,,9
808,58,25,18/01/1953,,7
809,58,19,30/05/1953,,4
810,58,39,07/06/1953,,8
811,58,13,21/06/1953,,7
812,58,55,05/07/1953,,8
813,58,9,18/07/1953,,9
814,58,20,02/08/1953,,9
815,58,66,23/08/1953,,7
816,58,14,13/09/1953,,6
799,57,25,17/01/1954,,1
800,57,19,31/05/1954,,9
801,57,13,20/06/1954,,6
802,57,55,04/07/1954,,3
803,57,9,17/07/1954,,1
804,57,20,01/08/1954,,3
805,57,66,22/08/1954,,2
806,57,14,05/09/1954,,8
807,57,67,24/10/1954,,6
792,56,25,16/01/1955,,6
793,56,6,22/05/1955,,9
794,56,19,30/05/1955,,7
795,56,13,05/06/1955,,4
796,56,39,19/06/1955,,6
797,56,58,16/07/1955,,7
798,56,14,11/09/1955,,4
784,55,25,22/01/1956,,6
785,55,6,13/05/1956,,9
786,55,19,30/05/1956,,9
787,55,13,03/06/1956,,3
788,55,55,01/07/1956,,2
789,55,9,14/07/1956,,4
790,55,20,05/08/1956,,1
791,55,14,02/09/1956,,4
776,54,25,13/01/1957,,6
777,54,6,19/05/1957,,9
778,54,19,30/05/1957,,1
779,54,53,07/07/1957,,1
780,54,58,20/07/1957,,7
781,54,20,04/08/1957,,4
782,54,65,18/08/1957,,4
783,54,14,08/09/1957,,3
765,53,25,19/01/1958,,6
766,53,6,18/05/1958,,3
767,53,39,26/05/1958,,5
768,53,19,30/05/1958,,5
769,53,13,15/06/1958,,9
770,53,55,06/07/1958,,5
771,53,9,19/07/1958,,2
772,53,20,03/08/1958,,6
773,53,59,24/08/1958,,2
774,53,14,07/09/1958,,3
775,53,64,19/10/1958,,8
756,52,6,10/05/1959,,1
757,52,19,30/05/1959,,1
758,52,39,31/05/1959,,9
759,52,55,05/07/1959,,9
760,52,58,18/07/1959,,4
761,52,61,02/08/1959,,9
762,52,62,23/08/1959,,7
763,52,14,13/09/1959,,7
764,52,63,12/12/1959,,3
746,51,25,07/02/1960,,1
747,51,6,29/05/1960,,9
748,51,19,30/05/1960,,5
749,51,39,06/06/1960,,6
750,51,13,19/06/1960,,8
751,51,55,03/07/1960,,5
752,51,9,16/07/1960,,5
753,51,59,14/08/1960,,8
754,51,14,04/09/1960,,8
755,51,60,20/11/1960,,9
738,50,6,14/05/1961,,7
739,50,39,22/05/1961,,4
740,50,13,18/06/1961,,4
741,50,55,02/07/1961,,1
742,50,58,15/07/1961,,7
743,50,20,06/08/1961,,2
744,50,14,10/09/1961,,2
745,50,46,08/10/1961,,1
729,49,39,20/05/1962,,8
730,49,6,03/06/1962,,2
731,49,13,17/06/1962,,7
732,49,53,08/07/1962,,3
733,49,58,21/07/1962,,3
734,49,20,05/08/1962,,7
735,49,14,16/09/1962,,4
736,49,46,07/10/1962,,7
737,49,56,29/12/1962,,4
719,48,6,26/05/1963,,3
720,48,13,09/06/1963,,7
721,48,39,23/06/1963,,7
722,48,55,30/06/1963,,1
723,48,9,20/07/1963,,2
724,48,20,04/08/1963,,3
725,48,14,08/09/1963,,2
726,48,46,06/10/1963,,2
727,48,32,27/10/1963,,7
728,48,56,28/12/1963,,6
709,47,6,10/05/1964,,8
710,47,39,24/05/1964,,5
711,47,13,14/06/1964,,2
712,47,53,28/06/1964,,3
713,47,38,11/07/1964,,8
714,47,20,02/08/1964,,4
715,47,57,23/08/1964,,5
716,47,14,06/09/1964,,9
717,47,46,04/10/1964,,9
718,47,32,25/10/1964,,1
699,46,56,01/01/1965,,4
700,46,6,30/05/1965,,1
701,46,13,13/06/1965,,8
702,46,51,27/06/1965,,9
703,46,9,10/07/1965,,1
704,46,39,18/07/1965,,3
705,46,20,01/08/1965,,2
706,46,14,12/09/1965,,3
707,46,46,03/10/1965,,8
708,46,32,24/10/1965,,8
690,45,6,22/05/1966,,4
691,45,13,12/06/1966,,1
692,45,55,03/07/1966,,4
693,45,38,16/07/1966,,4
694,45,39,24/07/1966,,3
695,45,20,07/08/1966,,8
696,45,14,04/09/1966,,8
697,45,46,02/10/1966,,7
