helyezes_id,versenyzo_id,elert_helyezes,pole_poz,verseny_ido,szezon_id,futam_id,auto_id,konstruktor_id,korok_szama
1,1,1,0,01:34:51,2,18,1,1,58
2,2,2,0,01:34:57,2,18,2,2,58
3,3,3,1,01:34:59,2,18,3,3,58
4,4,4,0,01:35:08,2,18,4,4,58
5,5,5,0,01:35:09,2,18,1,1,58
6,6,6,1,00:00:00,2,18,3,3,57
7,7,7,1,00:00:00,2,18,5,5,55
8,8,8,1,00:00:00,2,18,6,6,53
9,9,\N,1,00:00:00,2,18,2,2,47
10,10,\N,0,00:00:00,2,18,7,7,43
11,11,\N,0,00:00:00,2,18,8,8,32
12,12,\N,1,00:00:00,2,18,4,4,30
13,13,\N,0,00:00:00,2,18,6,6,29
14,14,\N,1,00:00:00,2,18,9,9,25
15,15,\N,0,00:00:00,2,18,7,7,19
16,16,\N,1,00:00:00,2,18,10,10,8
17,17,\N,1,00:00:00,2,18,9,9,0
18,18,\N,1,00:00:00,2,18,11,11,0
19,19,\N,0,00:00:00,2,18,8,8,0
20,20,\N,1,00:00:00,2,18,5,5,0
21,21,\N,1,00:00:00,2,18,10,10,0
22,22,\N,0,00:00:00,2,18,11,11,58
23,8,1,0,01:31:19,2,19,6,6,56
24,9,2,0,01:31:38,2,19,2,2,56
25,5,3,1,01:31:58,2,19,1,1,56
26,15,4,1,01:32:04,2,19,7,7,56
27,1,5,1,01:32:05,2,19,1,1,56
28,2,6,0,01:32:08,2,19,2,2,56
29,17,7,0,01:32:27,2,19,9,9,56
30,4,8,1,01:32:29,2,19,4,4,56
31,14,9,0,01:32:35,2,19,9,9,56
32,18,10,0,01:32:45,2,19,11,11,56
33,12,11,0,01:32:51,2,19,4,4,56
34,21,12,0,00:00:00,2,19,10,10,55
35,22,13,1,00:00:00,2,19,11,11,55
36,3,14,1,00:00:00,2,19,3,3,55
37,19,15,0,00:00:00,2,19,8,8,55
38,11,16,0,00:00:00,2,19,8,8,54
39,6,17,0,00:00:00,2,19,3,3,54
40,20,\N,0,00:00:00,2,19,5,5,39
41,13,\N,1,00:00:00,2,19,6,6,30
42,16,\N,0,00:00:00,2,19,10,10,5
43,10,\N,1,00:00:00,2,19,7,7,1
44,7,\N,1,00:00:00,2,19,5,5,0
45,13,1,0,01:31:07,2,20,6,6,57
46,8,2,1,01:31:10,2,20,6,6,57
47,9,3,1,01:31:12,2,20,2,2,57
48,2,4,1,01:31:15,2,20,2,2,57
49,5,5,0,01:31:34,2,20,1,1,57
50,15,6,1,01:31:48,2,20,7,7,57
51,17,7,0,01:31:52,2,20,9,9,57
52,3,8,1,01:32:03,2,20,3,3,57
53,10,9,1,01:32:16,2,20,7,7,57
54,4,10,1,01:32:24,2,20,4,4,57
55,22,11,1,01:32:25,2,20,11,11,57
56,21,12,1,00:00:00,2,20,10,10,56
57,1,13,1,00:00:00,2,20,1,1,56
58,6,14,0,00:00:00,2,20,3,3,56
59,7,15,0,00:00:00,2,20,5,5,56
60,19,16,1,00:00:00,2,20,8,8,56
61,11,17,1,00:00:00,2,20,8,8,56
62,14,18,1,00:00:00,2,20,9,9,56
63,16,19,0,00:00:00,2,20,10,10,56
64,12,\N,0,00:00:00,2,20,4,4,40
65,18,\N,0,00:00:00,2,20,11,11,19
66,20,\N,1,00:00:00,2,20,5,5,0
67,8,1,1,01:38:20,2,21,6,6,66
68,13,2,1,01:38:22,2,21,6,6,66
69,1,3,0,01:38:23,2,21,1,1,66
70,9,4,1,01:38:25,2,21,2,2,66
71,17,5,0,01:38:55,2,21,9,9,66
72,18,6,1,01:39:13,2,21,11,11,66
73,6,7,1,01:39:17,2,21,3,3,66
74,15,8,0,01:39:18,2,21,7,7,66
75,2,9,0,01:39:22,2,21,2,2,66
76,21,10,0,00:00:00,2,21,10,10,65
77,10,11,0,00:00:00,2,21,7,7,65
78,14,12,0,00:00:00,2,21,9,9,65
79,11,13,1,00:00:00,2,21,8,8,65
80,3,\N,0,00:00:00,2,21,3,3,41
81,4,\N,0,00:00:00,2,21,4,4,34
82,22,\N,0,00:00:00,2,21,11,11,34
83,5,\N,0,00:00:00,2,21,1,1,21
84,19,\N,1,00:00:00,2,21,8,8,8
